UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1642,M16501,M,298.0,308.0,1555.0,37.0,111.0,0,No Failure
1643,H31056,H,298.0,307.8,1588.0,35.4,114.0,0,No Failure
1644,L48823,L,298.0,307.8,1453.0,37.7,119.0,0,No Failure
1645,L48824,L,,307.8,1622.0,33.3,121.0,0,No Failure
1646,L48825,L,,307.8,1538.0,38.5,123.0,0,No Failure
1647,M16506,M,297.9,307.7,1527.0,42.8,125.0,0,No Failure
1648,L48827,L,297.8,307.8,1761.0,28.9,128.0,0,No Failure
1649,L48828,L,297.9,307.8,1373.0,50.2,130.0,0,No Failure
1650,H31063,H,298.0,307.9,1482.0,37.8,132.0,0,No Failure
1651,M16510,M,298.0,307.9,1417.0,,137.0,0,No Failure
1652,L48831,L,298.0,307.8,1414.0,51.7,140.0,0,No Failure
1653,H31066,H,297.9,307.8,1635.0,34.0,142.0,0,No Failure
1654,L48833,L,298.0,307.8,1386.0,57.3,147.0,0,No Failure
1655,L48834,L,298.2,308.1,1379.0,62.3,149.0,0,No Failure
1656,M16515,M,298.2,308.0,1577.0,35.9,151.0,0,No Failure
1657,L48836,L,298.2,308.1,1532.0,42.5,154.0,0,No Failure
1658,M16517,M,298.1,308.0,1374.0,48.8,156.0,0,No Failure
1659,H31072,H,298.1,308.0,1570.0,35.3,159.0,0,No Failure
1660,L48839,L,298.1,308.0,1697.0,31.0,164.0,0,No Failure
1661,L48840,L,298.2,308.0,1499.0,44.1,166.0,0,No Failure
1662,M16521,M,298.2,308.0,1411.0,,168.0,0,No Failure
1663,H31076,H,298.2,307.9,1462.0,45.5,171.0,0,No Failure
1664,M16523,M,298.1,307.9,1759.0,28.6,176.0,0,No Failure
1665,L48844,L,298.2,308.0,1535.0,38.0,179.0,0,No Failure
1666,H31079,H,298.2,307.9,1491.0,,181.0,0,No Failure
1667,L48846,L,298.2,307.9,1551.0,36.0,186.0,0,No Failure
1668,L48847,L,298.2,307.9,1769.0,27.2,188.0,0,No Failure
1669,L48848,L,298.2,307.9,1551.0,34.1,190.0,0,No Failure
1670,L48849,L,298.2,307.9,1544.0,31.4,192.0,0,No Failure
1671,L48850,L,298.2,307.8,1528.0,31.1,194.0,0,No Failure
1672,L48851,L,298.1,307.9,1614.0,35.8,196.0,0,No Failure
1673,L48852,L,298.1,,1432.0,49.8,198.0,0,No Failure
1674,M16533,M,298.1,,1384.0,43.7,200.0,0,No Failure
1675,L48854,L,298.1,307.8,1540.0,37.8,203.0,0,No Failure
1676,L48855,L,298.0,307.7,1407.0,43.9,205.0,0,No Failure
1677,H31090,H,297.9,307.6,1418.0,43.0,207.0,0,No Failure
1678,M16537,M,297.9,307.5,1647.0,30.8,212.0,0,No Failure
1679,L48858,L,298.0,307.5,1644.0,32.8,215.0,0,No Failure
1680,L48859,L,298.0,307.5,1792.0,27.9,217.0,0,No Failure
1681,M16540,M,297.9,307.4,1610.0,,219.0,0,No Failure
1682,M16541,M,297.8,307.3,1804.0,26.0,222.0,0,No Failure
1683,H31096,H,297.9,307.4,1604.0,36.1,225.0,1,Tool Wear Failure
1684,M16543,M,297.9,307.4,1403.0,52.8,0.0,0,No Failure
1685,L48864,L,297.8,307.3,1438.0,,3.0,0,No Failure
1686,L48865,L,297.9,307.3,1824.0,26.3,5.0,0,No Failure
1687,H31100,H,297.9,307.3,1663.0,28.7,7.0,0,No Failure
1688,L48867,L,297.9,307.3,,36.7,12.0,0,No Failure
1689,L48868,L,297.9,307.4,1606.0,35.5,14.0,0,No Failure
1690,L48869,L,297.9,307.5,1561.0,37.7,16.0,0,No Failure
1691,M16550,M,297.9,307.4,1435.0,42.9,18.0,0,No Failure
1692,L48871,L,297.9,307.5,,38.3,21.0,0,No Failure
1693,M16552,M,298.1,307.6,1764.0,,23.0,0,No Failure
1694,H31107,H,298.0,307.5,1683.0,27.8,26.0,0,No Failure
1695,L48874,L,298.0,307.5,1618.0,35.2,31.0,0,No Failure
1696,L48875,L,298.0,307.6,1509.0,41.6,33.0,0,No Failure
1697,L48876,L,297.9,307.6,1550.0,39.0,35.0,0,No Failure
1698,M16557,M,297.9,307.6,1519.0,44.0,37.0,0,No Failure
1699,L48878,L,297.9,307.6,1481.0,38.0,40.0,0,No Failure
1700,L48879,L,298.1,307.7,1289.0,48.3,42.0,0,No Failure
1701,M16560,M,298.0,307.6,1844.0,23.8,44.0,0,No Failure
1702,L48881,L,298.0,307.7,1479.0,42.5,47.0,0,No Failure
1703,L48882,L,298.0,307.7,1430.0,47.3,49.0,0,No Failure
1704,M16563,M,298.1,307.8,1636.0,36.7,51.0,0,No Failure
1705,M16564,M,298.1,307.8,1503.0,44.7,54.0,0,No Failure
1706,M16565,M,298.1,307.8,1608.0,32.6,57.0,0,No Failure
1707,L48886,L,298.2,307.8,1521.0,42.9,60.0,0,No Failure
1708,L48887,L,298.2,307.8,1439.0,41.6,62.0,0,No Failure
1709,L48888,L,298.2,307.8,1627.0,31.5,,0,No Failure
1710,L48889,L,298.2,307.8,1749.0,26.1,66.0,0,No Failure
1711,L48890,L,298.2,307.8,1530.0,35.9,68.0,0,No Failure
1712,L48891,L,298.2,307.8,,51.3,70.0,0,No Failure
1713,L48892,L,298.3,307.9,1551.0,,72.0,0,No Failure
1714,L48893,L,298.2,307.8,1515.0,46.7,74.0,0,No Failure
1715,L48894,L,298.2,307.8,1388.0,48.6,76.0,0,No Failure
1716,L48895,L,298.2,307.8,1585.0,34.6,78.0,0,No Failure
1717,L48896,L,298.1,307.7,1523.0,37.7,80.0,0,No Failure
1718,L48897,L,298.2,307.6,1369.0,54.5,82.0,0,No Failure
1719,M16578,M,298.2,307.7,1681.0,31.0,84.0,0,No Failure
1720,L48899,L,298.2,307.7,1503.0,,87.0,0,No Failure
1721,L48900,L,298.2,307.7,1459.0,44.5,89.0,0,No Failure
1722,L48901,L,298.2,307.7,1688.0,32.4,91.0,0,No Failure
1723,M16582,M,298.2,307.7,1952.0,21.6,93.0,0,No Failure
1724,L48903,L,298.2,307.8,2029.0,19.9,96.0,0,No Failure
1725,M16584,M,298.3,307.8,1457.0,52.5,98.0,0,No Failure
1726,M16585,M,298.3,,1392.0,50.4,,0,No Failure
1727,L48906,L,298.3,307.8,1906.0,22.1,104.0,0,No Failure
1728,M16587,M,298.3,,1602.0,33.4,106.0,0,No Failure
1729,L48908,L,298.3,307.7,1465.0,49.4,109.0,0,No Failure
1730,M16589,M,298.3,307.7,1439.0,43.8,111.0,0,No Failure
1731,M16590,M,,307.8,1330.0,55.4,114.0,0,No Failure
1732,M16591,M,298.3,307.9,1485.0,42.0,117.0,0,No Failure
1733,H31146,H,298.4,307.9,1700.0,28.2,120.0,0,No Failure
1734,L48913,L,298.4,308.0,1515.0,42.8,125.0,0,No Failure
1735,M16594,M,298.5,308.1,1501.0,39.2,127.0,0,No Failure
1736,L48915,L,298.4,308.0,1380.0,47.6,130.0,0,No Failure
1737,L48916,L,298.4,307.9,1544.0,35.9,132.0,0,No Failure
1738,L48917,L,298.4,307.9,1743.0,27.3,134.0,0,No Failure
1739,H31152,H,298.4,307.9,1948.0,21.4,136.0,0,No Failure
1740,H31153,H,298.5,307.9,1260.0,54.2,141.0,0,No Failure
1741,M16600,M,298.5,307.9,1640.0,33.1,146.0,0,No Failure
1742,M16601,M,298.5,308.0,1363.0,49.2,149.0,0,No Failure
1743,L48922,L,298.5,308.0,1379.0,49.6,152.0,0,No Failure
1744,M16603,M,298.5,308.0,1713.0,25.8,154.0,0,No Failure
1745,M16604,M,298.5,308.0,1461.0,51.9,157.0,0,No Failure
1746,L48925,L,298.5,308.0,1624.0,29.8,160.0,0,No Failure
1747,L48926,L,298.4,308.0,1526.0,41.1,162.0,0,No Failure
1748,L48927,L,298.4,307.9,2381.0,14.2,164.0,0,No Failure
1749,H31162,H,,307.7,1626.0,31.1,166.0,0,Random Failures
1750,L48929,L,298.3,307.7,1576.0,33.8,171.0,0,No Failure
1751,M16610,M,298.4,307.8,1617.0,31.6,173.0,0,No Failure
1752,L48931,L,298.3,307.6,,20.6,176.0,0,No Failure
1753,L48932,L,298.2,,1492.0,37.2,178.0,0,No Failure
1754,L48933,L,298.2,307.5,1470.0,51.3,180.0,0,No Failure
1755,M16614,M,298.0,307.4,1463.0,46.5,182.0,0,No Failure
1756,L48935,L,298.0,307.3,1424.0,46.5,185.0,0,No Failure
1757,M16616,M,298.1,307.4,1363.0,60.1,187.0,0,No Failure
1758,M16617,M,298.1,307.4,1335.0,56.2,190.0,0,No Failure
1759,L48938,L,298.1,307.4,1608.0,33.9,193.0,0,No Failure
1760,H31173,H,298.0,307.4,1606.0,35.2,195.0,0,No Failure
1761,L48940,L,298.1,307.5,1684.0,33.1,200.0,0,No Failure
1762,L48941,L,,307.6,1950.0,20.3,202.0,0,No Failure
1763,H31176,H,298.2,307.6,1460.0,48.6,204.0,0,No Failure
1764,L48943,L,298.2,307.6,1511.0,31.0,209.0,1,Tool Wear Failure
1765,H31178,H,298.2,307.6,1318.0,55.7,0.0,0,No Failure
1766,L48945,L,298.2,307.6,,51.8,5.0,0,No Failure
1767,M16626,M,298.3,307.7,1717.0,27.1,7.0,0,No Failure
1768,M16627,M,298.3,,1520.0,41.4,10.0,0,No Failure
1769,M16628,M,298.3,307.8,1485.0,42.0,13.0,0,No Failure
1770,L48949,L,298.4,307.9,1981.0,23.2,16.0,0,No Failure
1771,H31184,H,298.4,307.9,1605.0,31.0,18.0,0,No Failure
1772,L48951,L,298.4,307.9,1446.0,45.3,23.0,0,No Failure
1773,L48952,L,298.4,308.0,1508.0,47.9,25.0,0,No Failure
1774,L48953,L,298.5,308.0,,59.5,27.0,0,No Failure
1775,M16634,M,298.5,308.0,1519.0,37.3,29.0,0,No Failure
1776,L48955,L,298.5,308.0,1404.0,48.1,32.0,0,No Failure
1777,L48956,L,298.5,308.1,1564.0,31.1,34.0,0,No Failure
1778,H31191,H,298.6,308.2,1555.0,,36.0,0,No Failure
1779,L48958,L,298.6,308.2,1325.0,54.0,41.0,0,No Failure
1780,M16639,M,298.6,308.2,,44.0,43.0,0,No Failure
1781,L48960,L,298.5,,1595.0,32.3,46.0,0,No Failure
1782,L48961,L,298.5,308.1,1662.0,28.6,48.0,0,No Failure
1783,L48962,L,298.4,308.0,1571.0,37.4,50.0,0,No Failure
1784,H31197,H,298.3,308.0,1553.0,41.0,52.0,0,No Failure
1785,L48964,L,298.3,,2886.0,3.8,57.0,1,Power Failure
1786,L48965,L,,308.0,1538.0,38.2,59.0,0,No Failure
1787,L48966,L,298.4,308.2,1618.0,33.0,61.0,0,No Failure
1788,L48967,L,298.4,308.2,1364.0,45.9,63.0,0,No Failure
1789,L48968,L,298.3,308.0,1442.0,47.3,65.0,0,No Failure
1790,L48969,L,298.2,307.9,1313.0,67.3,67.0,1,Power Failure
1791,L48970,L,298.2,307.9,1847.0,23.6,69.0,0,No Failure
1792,L48971,L,298.1,307.8,1524.0,40.8,71.0,0,No Failure
1793,M16652,M,298.1,307.7,1445.0,,73.0,0,No Failure
1794,L48973,L,298.1,307.8,1761.0,28.2,76.0,0,No Failure
1795,M16654,M,298.1,307.8,1514.0,43.5,78.0,0,No Failure
1796,M16655,M,298.1,307.7,1498.0,38.3,81.0,0,No Failure
1797,H31210,H,298.1,307.6,1542.0,37.1,84.0,0,No Failure
1798,M16657,M,298.0,307.6,1508.0,41.8,89.0,0,No Failure
1799,M16658,M,298.0,307.5,1431.0,52.9,92.0,0,No Failure
1800,M16659,M,298.0,307.5,1427.0,45.1,95.0,0,No Failure
1801,M16660,M,298.0,307.5,1524.0,36.3,98.0,0,No Failure
1802,M16661,M,298.0,307.5,1427.0,43.6,101.0,0,No Failure
1803,H31216,H,298.1,307.6,1496.0,44.1,104.0,0,No Failure
1804,L48983,L,298.1,307.7,1388.0,40.3,109.0,0,No Failure
1805,L48984,L,298.1,307.7,1495.0,48.1,111.0,0,No Failure
1806,H31219,H,298.1,,1376.0,56.2,113.0,0,No Failure
1807,H31220,H,298.0,307.6,1593.0,32.2,118.0,0,No Failure
1808,L48987,L,298.0,307.6,1654.0,28.9,123.0,0,No Failure
1809,L48988,L,298.1,307.7,2567.0,12.8,,1,Power Failure
1810,L48989,L,298.1,307.7,1767.0,27.0,127.0,0,No Failure
1811,L48990,L,298.1,307.6,1364.0,53.8,129.0,0,No Failure
1812,M16671,M,298.1,307.8,1569.0,31.2,131.0,0,No Failure
1813,L48992,L,298.2,307.8,1476.0,36.8,134.0,0,No Failure
1814,L48993,L,,307.7,1479.0,45.0,136.0,0,No Failure
1815,L48994,L,298.1,307.7,1650.0,34.1,138.0,0,No Failure
1816,M16675,M,298.1,307.6,1565.0,36.3,140.0,0,No Failure
1817,L48996,L,298.1,307.6,1460.0,46.5,,0,No Failure
1818,L48997,L,298.1,307.7,1664.0,27.6,145.0,0,No Failure
1819,M16678,M,298.1,307.7,1435.0,40.9,147.0,0,No Failure
1820,M16679,M,,307.6,2066.0,19.2,150.0,0,No Failure
1821,L49000,L,298.1,307.5,1493.0,43.7,153.0,0,No Failure
1822,L49001,L,298.1,307.6,1354.0,43.3,155.0,0,No Failure
1823,L49002,L,298.1,307.6,1488.0,39.4,157.0,0,No Failure
1824,L49003,L,298.1,307.7,1414.0,48.7,159.0,0,No Failure
1825,L49004,L,,307.5,1391.0,57.4,161.0,0,No Failure
1826,M16685,M,298.0,307.5,1784.0,27.8,163.0,0,No Failure
1827,H31240,H,297.8,307.3,1516.0,,166.0,0,No Failure
1828,M16687,M,297.9,307.3,1420.0,47.8,171.0,0,No Failure
1829,L49008,L,297.8,,1351.0,56.3,174.0,0,No Failure
1830,L49009,L,297.8,307.2,1880.0,23.0,176.0,0,No Failure
1831,L49010,L,297.8,307.3,1859.0,24.0,178.0,0,No Failure
1832,M16691,M,297.8,307.3,1315.0,,180.0,0,No Failure
1833,M16692,M,297.8,307.4,1330.0,51.7,183.0,0,No Failure
1834,L49013,L,297.8,307.3,1327.0,61.0,186.0,1,Overstrain Failure
1835,L49014,L,297.8,307.2,1498.0,38.1,188.0,0,No Failure
1836,H31249,H,297.8,307.3,1555.0,35.8,190.0,0,No Failure
1837,L49016,L,297.7,307.2,1518.0,35.8,195.0,0,No Failure
1838,L49017,L,297.7,307.2,1392.0,43.0,197.0,0,No Failure
1839,M16698,M,297.8,307.2,1456.0,39.6,199.0,0,No Failure
1840,L49019,L,297.7,307.1,1715.0,30.2,0.0,0,No Failure
1841,M16700,M,297.7,307.2,1405.0,43.7,2.0,0,No Failure
1842,L49021,L,297.7,307.2,1668.0,37.8,5.0,0,No Failure
1843,H31256,H,297.7,307.1,1855.0,22.5,7.0,0,No Failure
1844,L49023,L,297.6,307.1,1496.0,39.2,12.0,0,No Failure
1845,M16704,M,297.6,307.1,1471.0,44.9,14.0,0,No Failure
1846,L49025,L,297.7,307.2,1444.0,40.0,17.0,0,No Failure
1847,H31260,H,297.7,,1514.0,38.6,19.0,0,No Failure
1848,L49027,L,297.8,307.3,1412.0,50.7,24.0,0,No Failure
1849,H31262,H,297.7,307.2,1429.0,44.1,26.0,0,No Failure
1850,L49029,L,297.7,307.2,1668.0,32.7,31.0,0,No Failure
1851,M16710,M,297.7,307.2,1372.0,52.8,33.0,0,No Failure
1852,M16711,M,297.7,307.3,1365.0,49.2,36.0,0,No Failure
1853,M16712,M,297.6,307.1,1526.0,39.1,39.0,0,No Failure
1854,L49033,L,297.6,307.2,1486.0,40.6,42.0,0,No Failure
1855,M16714,M,297.6,307.2,1470.0,42.6,44.0,0,No Failure
1856,H31269,H,297.7,307.3,1249.0,62.8,47.0,0,No Failure
1857,M16716,M,297.8,307.4,1752.0,26.1,52.0,0,No Failure
1858,L49037,L,297.7,307.4,,36.5,55.0,0,No Failure
1859,M16718,M,297.8,307.4,1488.0,36.1,57.0,0,No Failure
1860,L49039,L,297.8,307.4,1355.0,45.8,60.0,0,No Failure
1861,L49040,L,297.8,307.6,1607.0,30.3,62.0,0,No Failure
1862,M16721,M,297.9,307.6,1609.0,30.3,64.0,0,No Failure
1863,L49042,L,297.9,307.7,1517.0,44.4,67.0,0,No Failure
1864,M16723,M,297.9,307.7,1517.0,39.5,69.0,0,No Failure
1865,L49044,L,297.9,307.7,1546.0,37.6,72.0,0,No Failure
1866,L49045,L,297.9,307.7,1567.0,34.7,74.0,0,No Failure
1867,M16726,M,298.1,307.9,1662.0,28.9,76.0,0,No Failure
1868,L49047,L,298.1,307.9,1502.0,41.8,79.0,0,No Failure
1869,L49048,L,298.3,308.0,1361.0,,81.0,0,No Failure
1870,M16729,M,298.3,308.1,1630.0,32.7,83.0,0,No Failure
1871,L49050,L,298.3,308.0,,42.3,86.0,0,No Failure
1872,L49051,L,298.3,308.1,1840.0,21.5,88.0,0,No Failure
1873,L49052,L,298.3,308.1,,58.4,90.0,0,No Failure
1874,L49053,L,298.4,308.1,1367.0,57.8,92.0,0,No Failure
1875,L49054,L,298.4,308.1,1598.0,32.7,94.0,0,No Failure
1876,L49055,L,298.3,308.0,1363.0,50.1,96.0,0,No Failure
1877,L49056,L,298.3,308.0,1242.0,62.0,98.0,0,No Failure
1878,M16737,M,298.2,307.8,1566.0,33.8,100.0,0,No Failure
1879,M16738,M,298.1,307.7,1424.0,47.7,103.0,0,No Failure
1880,M16739,M,298.2,307.7,1608.0,33.8,106.0,0,No Failure
1881,L49060,L,298.1,307.7,1705.0,29.1,109.0,0,No Failure
1882,L49061,L,298.0,307.6,1548.0,45.8,111.0,0,No Failure
1883,M16742,M,298.0,307.6,1581.0,43.4,113.0,0,No Failure
1884,M16743,M,298.0,307.6,1472.0,46.7,116.0,0,No Failure
1885,M16744,M,298.0,307.6,1792.0,26.0,119.0,0,No Failure
1886,L49065,L,298.0,307.6,1683.0,32.8,122.0,0,No Failure
1887,L49066,L,297.9,307.6,1503.0,40.7,124.0,0,No Failure
1888,M16747,M,297.9,307.5,1642.0,32.4,126.0,0,No Failure
1889,M16748,M,297.8,307.4,1902.0,24.3,129.0,0,No Failure
1890,H31303,H,297.7,307.4,1432.0,40.2,132.0,0,No Failure
1891,L49070,L,297.8,307.4,1512.0,40.8,137.0,0,No Failure
1892,L49071,L,297.7,307.4,1764.0,29.0,139.0,0,No Failure
1893,M16752,M,297.8,307.4,1438.0,43.6,141.0,0,No Failure
1894,L49073,L,297.8,307.5,1631.0,29.9,144.0,0,No Failure
1895,H31308,H,297.9,307.5,1880.0,23.3,146.0,0,No Failure
1896,L49075,L,297.9,307.6,1344.0,54.3,151.0,0,No Failure
1897,L49076,L,297.9,307.5,1574.0,35.8,153.0,0,No Failure
1898,L49077,L,297.8,307.4,1418.0,41.2,155.0,0,No Failure
1899,L49078,L,297.8,307.5,1372.0,54.1,157.0,0,No Failure
1900,L49079,L,297.8,307.5,1388.0,40.0,159.0,0,No Failure
1901,H31314,H,297.9,307.6,1493.0,36.0,161.0,0,No Failure
1902,M16761,M,297.9,307.6,1505.0,40.1,166.0,0,No Failure
1903,L49082,L,298.0,307.6,1694.0,29.1,169.0,0,No Failure
1904,L49083,L,297.9,307.6,1968.0,20.4,171.0,0,No Failure
1905,M16764,M,298.0,307.6,1569.0,35.6,173.0,0,No Failure
1906,L49085,L,297.9,307.6,,29.1,176.0,0,No Failure
1907,L49086,L,297.9,307.6,1430.0,52.4,178.0,0,No Failure
1908,L49087,L,297.9,307.6,,42.4,180.0,0,No Failure
1909,L49088,L,297.9,307.6,1977.0,20.2,182.0,0,No Failure
1910,L49089,L,298.0,,1435.0,45.6,184.0,0,No Failure
1911,H31324,H,298.0,307.7,1547.0,36.8,186.0,0,No Failure
1912,M16771,M,298.1,307.8,1316.0,57.2,191.0,0,No Failure
1913,M16772,M,298.0,307.7,1621.0,34.9,194.0,0,No Failure
1914,M16773,M,298.0,307.8,1492.0,40.2,197.0,0,No Failure
1915,L49094,L,298.0,307.7,1643.0,32.3,200.0,0,No Failure
1916,L49095,L,298.0,307.7,1492.0,38.7,202.0,0,No Failure
1917,L49096,L,298.0,307.7,1387.0,50.8,204.0,0,No Failure
1918,M16777,M,298.1,307.9,1463.0,47.3,206.0,0,No Failure
1919,M16778,M,298.1,307.9,,40.0,0.0,0,No Failure
1920,L49099,L,298.2,308.0,1658.0,30.0,3.0,0,No Failure
1921,L49100,L,298.1,307.9,2161.0,17.5,5.0,0,No Failure
1922,L49101,L,298.1,307.9,1665.0,32.0,7.0,0,No Failure
1923,L49102,L,298.0,307.8,1716.0,26.6,9.0,0,No Failure
1924,L49103,L,298.0,307.7,1529.0,34.1,11.0,0,No Failure
1925,L49104,L,297.9,307.7,1353.0,50.7,13.0,0,No Failure
1926,L49105,L,297.9,307.7,1537.0,37.7,15.0,0,No Failure
1927,L49106,L,298.0,307.7,1606.0,30.8,17.0,0,No Failure
1928,H31341,H,298.0,307.8,1314.0,47.8,19.0,0,No Failure
1929,L49108,L,298.0,307.8,1623.0,29.9,24.0,0,No Failure
1930,M16789,M,298.0,307.8,1483.0,50.9,26.0,0,No Failure
1931,M16790,M,298.1,307.9,1569.0,37.0,29.0,0,No Failure
1932,M16791,M,298.2,308.0,1969.0,21.7,,0,No Failure
1933,M16792,M,298.1,308.0,1686.0,29.3,35.0,0,No Failure
1934,L49113,L,298.1,308.0,1638.0,35.1,38.0,0,No Failure
1935,L49114,L,298.1,307.9,1698.0,33.3,40.0,0,No Failure
1936,M16795,M,298.1,307.9,1377.0,55.1,42.0,0,No Failure
1937,M16796,M,298.1,308.0,2129.0,18.4,45.0,0,No Failure
1938,L49117,L,298.2,308.0,1411.0,42.4,48.0,0,No Failure
1939,L49118,L,298.1,307.9,1517.0,40.8,50.0,0,No Failure
1940,M16799,M,298.1,307.9,1303.0,53.9,52.0,0,No Failure
1941,L49120,L,298.1,307.9,1578.0,35.6,55.0,0,No Failure
1942,L49121,L,298.1,307.9,1425.0,58.2,57.0,0,No Failure
1943,L49122,L,,308.0,1456.0,42.4,59.0,0,No Failure
1944,L49123,L,298.1,308.0,1704.0,30.9,61.0,0,No Failure
1945,L49124,L,298.1,308.1,1791.0,27.3,63.0,0,No Failure
1946,L49125,L,298.1,308.1,1616.0,32.8,65.0,0,No Failure
1947,L49126,L,,308.1,1622.0,34.9,67.0,0,No Failure
1948,L49127,L,298.2,308.1,1462.0,49.9,69.0,0,No Failure
1949,L49128,L,298.1,308.1,1410.0,45.8,71.0,0,No Failure
1950,M16809,M,298.1,308.0,1543.0,41.9,73.0,0,No Failure
1951,M16810,M,298.0,307.9,1479.0,47.6,76.0,0,No Failure
1952,L49131,L,298.0,307.8,1839.0,22.7,79.0,0,No Failure
1953,L49132,L,298.0,307.8,1266.0,60.5,81.0,0,No Failure
1954,L49133,L,297.9,307.7,1593.0,34.9,83.0,0,No Failure
1955,L49134,L,297.9,307.8,1459.0,46.9,,0,No Failure
1956,L49135,L,297.9,307.7,1308.0,55.2,87.0,0,No Failure
1957,M16816,M,297.9,307.7,1364.0,,89.0,0,No Failure
1958,H31371,H,297.9,307.7,1618.0,35.9,92.0,0,No Failure
1959,H31372,H,297.9,307.7,1464.0,43.2,97.0,0,No Failure
1960,M16819,M,297.8,307.6,1352.0,,102.0,0,No Failure
1961,L49140,L,297.8,307.6,1446.0,51.4,105.0,0,No Failure
1962,L49141,L,297.8,307.5,1448.0,51.2,107.0,0,No Failure
1963,L49142,L,297.8,307.5,1391.0,48.6,109.0,0,No Failure
1964,L49143,L,297.7,307.5,1379.0,43.3,111.0,0,No Failure
1965,M16824,M,297.8,307.5,1405.0,46.9,113.0,0,No Failure
1966,L49145,L,297.8,307.5,1581.0,,116.0,0,No Failure
1967,L49146,L,297.9,307.6,1515.0,40.5,118.0,0,No Failure
1968,L49147,L,297.9,307.6,1589.0,37.8,120.0,0,No Failure
1969,L49148,L,298.0,307.6,1281.0,50.8,122.0,0,No Failure
1970,H31383,H,297.8,307.5,1631.0,,124.0,0,No Failure
1971,M16830,M,297.9,307.6,1202.0,67.0,129.0,0,No Failure
1972,L49151,L,297.9,307.6,1298.0,52.7,132.0,0,No Failure
1973,L49152,L,297.9,307.6,1612.0,30.7,134.0,0,No Failure
1974,L49153,L,297.9,307.6,1747.0,25.3,,0,No Failure
1975,L49154,L,298.0,307.6,1450.0,48.7,138.0,0,No Failure
1976,L49155,L,298.0,307.7,1422.0,45.6,140.0,0,No Failure
1977,M16836,M,298.1,307.7,1419.0,47.4,142.0,0,No Failure
1978,M16837,M,298.1,307.7,1633.0,30.7,145.0,0,No Failure
1979,L49158,L,298.0,307.7,1442.0,43.6,148.0,0,No Failure
1980,H31393,H,298.0,307.6,1420.0,45.8,150.0,0,No Failure
1981,M16840,M,298.0,307.6,1301.0,,155.0,0,No Failure
1982,L49161,L,298.0,307.6,1385.0,45.0,158.0,0,No Failure
1983,M16842,M,298.0,307.7,1487.0,41.3,160.0,0,No Failure
1984,M16843,M,298.0,307.6,1459.0,44.4,163.0,0,No Failure
1985,M16844,M,298.0,,1387.0,45.5,166.0,0,No Failure
1986,L49165,L,298.1,307.7,1537.0,40.8,169.0,0,No Failure
1987,L49166,L,298.1,307.6,1498.0,42.9,171.0,0,No Failure
1988,M16847,M,298.2,307.8,1599.0,31.2,173.0,0,No Failure
1989,H31402,H,298.3,307.9,1420.0,39.2,176.0,0,No Failure
1990,L49169,L,298.2,307.9,1785.0,23.4,181.0,0,No Failure
1991,L49170,L,298.2,307.8,1423.0,48.1,183.0,0,No Failure
1992,M16851,M,298.2,307.8,1583.0,36.6,185.0,0,No Failure
1993,L49172,L,298.2,307.8,1375.0,46.6,188.0,0,No Failure
1994,M16853,M,298.3,308.0,1463.0,42.5,190.0,0,No Failure
1995,M16854,M,298.2,307.9,1403.0,45.1,193.0,0,No Failure
1996,L49175,L,298.3,308.0,1451.0,47.1,196.0,0,No Failure
1997,M16856,M,298.4,308.0,1416.0,38.2,198.0,1,Tool Wear Failure
1998,L49177,L,,308.1,1672.0,41.3,,0,No Failure
1999,H31412,H,298.3,308.0,1637.0,30.8,2.0,0,No Failure
2000,L49179,L,298.4,308.0,1540.0,37.8,7.0,0,No Failure
2001,L49180,L,298.4,308.1,1279.0,53.1,9.0,0,No Failure
2002,L49181,L,298.4,308.2,1604.0,34.9,11.0,0,No Failure
2003,L49182,L,298.5,308.2,1654.0,27.1,13.0,0,No Failure
2004,M16863,M,298.5,308.2,1564.0,37.5,15.0,0,No Failure
2005,L49184,L,298.5,308.2,1451.0,47.5,18.0,0,No Failure
2006,L49185,L,298.5,308.3,1504.0,38.0,20.0,0,No Failure
2007,M16866,M,,308.3,1381.0,50.5,22.0,0,No Failure
2008,L49187,L,,308.4,1562.0,34.4,25.0,0,No Failure
2009,L49188,L,298.5,308.3,1811.0,24.7,27.0,0,No Failure
2010,M16869,M,298.6,308.3,1717.0,28.7,29.0,0,No Failure
2011,L49190,L,298.6,308.3,1278.0,60.5,32.0,0,No Failure
2012,L49191,L,298.7,308.5,1616.0,30.2,34.0,0,No Failure
2013,L49192,L,298.6,308.4,1397.0,46.4,36.0,0,No Failure
2014,L49193,L,298.6,308.4,1485.0,42.9,38.0,0,No Failure
2015,L49194,L,298.6,308.4,1310.0,59.7,40.0,0,No Failure
2016,L49195,L,298.5,308.2,1301.0,66.3,42.0,1,Power Failure
2017,L49196,L,298.5,308.3,1458.0,44.0,44.0,0,No Failure
2018,L49197,L,,,,42.5,46.0,0,No Failure
2019,L49198,L,298.7,308.5,1375.0,46.4,,0,No Failure
2020,M16879,M,298.7,308.5,1660.0,27.0,50.0,0,No Failure
2021,H31434,H,298.7,308.4,1560.0,33.3,53.0,0,No Failure
2022,L49201,L,,308.5,1480.0,42.2,58.0,0,No Failure
2023,L49202,L,298.7,308.4,1373.0,46.9,60.0,0,No Failure
